陕西,#genre#
汉中佛坪,http://36.46.98.174:8025/udp/239.112.205.229:5140$陕西电信
汉中城固,http://36.46.98.174:8025/udp/239.111.205.79:5140$陕西电信
汉中宁强,http://36.46.98.174:8025/udp/239.111.205.18:5140$陕西电信
汉中洋县,http://36.46.98.174:8025/udp/239.111.205.77:5140$陕西电信
汉中留坝,http://36.46.98.174:8025/udp/239.110.205.54:9942
汉中留坝,http://36.46.98.174:8025/udp/239.112.205.240:5140$陕西电信
汉中西乡,http://36.46.98.174:8025/udp/239.111.205.17:5140$陕西电信
汉中镇巴,http://36.46.98.174:8025/udp/239.112.205.231:5140$陕西电信
榆林综合,http://36.46.98.174:8025/udp/239.110.205.42:9882
重庆卫视,http://36.46.98.174:8025/udp/239.112.205.179:5140$陕西电信
重庆卫视,http://36.46.98.174:8025/udp/239.109.205.70:8496
江苏卫视,http://36.46.98.174:8025/udp/239.112.205.63:5140$陕西电信
江苏卫视,http://36.46.98.174:8025/udp/239.109.205.119:8368
浙江卫视,http://36.46.98.174:8025/udp/239.109.205.120:8896
浙江卫视,http://36.46.98.174:8025/udp/239.112.205.64:5140$陕西电信
东方卫视,http://36.46.98.174:8025/udp/239.112.205.61:5140$陕西电信
东方卫视,http://36.46.98.174:8025/udp/239.109.205.121:8904
深圳卫视,http://36.46.98.174:8025/udp/239.109.205.189:9602
深圳卫视,http://36.46.98.174:8025/udp/239.109.205.163:9002
深圳卫视,http://36.46.98.174:8025/udp/239.112.205.67:5140$陕西电信
北京卫视,http://36.46.98.174:8025/udp/239.112.205.65:5140$陕西电信
北京卫视,http://36.46.98.174:8025/udp/239.109.205.162:8898
山东卫视,http://36.46.98.174:8025/udp/239.112.205.70:5140$陕西电信
山东卫视,http://36.46.98.174:8025/udp/239.109.205.191:9606
天津卫视,http://36.46.98.174:8025/udp/239.110.205.23:9838
天津卫视,http://36.46.98.174:8025/udp/239.112.205.74:5140$陕西电信
贵州卫视,http://36.46.98.174:8025/udp/239.109.205.139:9024
贵州卫视,http://36.46.98.174:8025/udp/239.112.205.178:5140$陕西电信
四川卫视,http://36.46.98.174:8025/udp/239.112.205.184:5140$陕西电信
四川卫视,http://36.46.98.174:8025/udp/239.110.205.18:9818
云南卫视,http://36.46.98.174:8025/udp/239.111.205.106:5140$陕西电信
云南卫视,http://36.46.98.174:8025/udp/239.109.205.215:9216
广西卫视,http://36.46.98.174:8025/udp/239.111.205.14:5140$陕西电信
黑龙江卫视,http://36.46.98.174:8025/udp/239.109.205.190:9604
黑龙江卫视,http://36.46.98.174:8025/udp/239.112.205.68:5140$陕西电信
安徽卫视,http://36.46.98.174:8025/udp/239.110.205.11:9790
安徽卫视,http://36.46.98.174:8025/udp/239.112.205.72:5140$陕西电信
山西卫视,http://36.46.98.174:8025/udp/239.111.205.39:5140$陕西电信
江西卫视,http://36.46.98.174:8025/udp/239.111.205.16:5140$陕西电信
江西卫视,http://36.46.98.174:8025/udp/239.109.205.96:8704
